datetime,human_count,temp(c),regulator_value
"02/13/2022, 20:31:48",1.0,27.0,1
"02/13/2022, 20:31:58",1.0,27.0,1
"02/13/2022, 20:32:08",1.0,27.0,1
"02/13/2022, 20:32:18",1.0,27.0,1
"02/13/2022, 20:32:28",1.0,27.0,1
"02/13/2022, 20:32:38",0.0,27.0,0
"02/13/2022, 20:32:48",0.0,27.0,0
"02/13/2022, 20:32:58",1.0,27.0,1
"02/13/2022, 20:33:08",1.0,27.0,1
"02/13/2022, 20:33:18",1.0,27.0,1
"02/13/2022, 20:33:28",1.0,27.0,1
"02/13/2022, 20:33:38",1.0,27.0,1
"02/13/2022, 20:33:48",1.0,27.0,1
"02/13/2022, 20:33:58",1.0,27.0,1
"02/13/2022, 20:34:08",1.0,27.0,1
"02/13/2022, 20:34:18",1.0,27.0,1
